"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
,,,,,"3673","2917","ROAD_SEGMENT","NaN","false","service","14.117430171080498","NaN","256368295"
,,,,,"3673","903","ROAD_SEGMENT","NaN","false","footway","18.943787558247582","NaN","256368297"
,,,,,"3674","4140","ROAD_SEGMENT","NaN","false","service","15.881351976324162","NaN","1013714679"
,,,,,"3675","3670","ROAD_SEGMENT","NaN","false","footway","23.765444790184624","NaN","499645175"
,,,,,"3675","1468","ROAD_SEGMENT","NaN","false","footway","14.27394086218425","NaN","499645175"
,,,,,"3675","3676","ROAD_SEGMENT","NaN","false","service","29.584604425644304","NaN","1013714679"
,,,,,"3675","3677","ROAD_SEGMENT","NaN","false","service","5.81514108661674","NaN","1013714679"
,,,,,"3676","3672","ROAD_SEGMENT","NaN","false","service","6.093591180361934","NaN","1013714676"
,,,,,"3676","4140","ROAD_SEGMENT","NaN","false","service","7.229829325154067","NaN","1013714679"
,,,,,"3676","3675","ROAD_SEGMENT","NaN","false","service","29.584604425644304","NaN","1013714679"
,,,,,"3677","3675","ROAD_SEGMENT","NaN","false","service","5.81514108661674","NaN","1013714679"
,,,,,"3678","3670","ROAD_SEGMENT","NaN","false","footway","7.144450814609949","NaN","1013714672"
,,,,,"3679","3671","ROAD_SEGMENT","NaN","false","footway","7.299946422634332","NaN","1013714673"
,,,,,"3680","3681","ROAD_SEGMENT","NaN","false","footway","31.420288095419313","NaN","376886924"
,,,,,"3680","4663","ROAD_SEGMENT","NaN","false","footway","85.77427725411401","NaN","376886924"
,,,,,"3681","4655","ROAD_SEGMENT","NaN","false","footway","27.25105884619341","NaN","376886924"
,,,,,"3681","3680","ROAD_SEGMENT","NaN","false","footway","31.420288095419313","NaN","376886924"
,,,,,"3682","1479","ROAD_SEGMENT","NaN","false","footway","8.493737203195803","NaN","376886924"
,,,,,"3682","4662","ROAD_SEGMENT","NaN","false","footway","42.72114576302055","NaN","376886924"
,,,,,"3683","2555","ROAD_SEGMENT","NaN","false","footway","1.6815144234401427","NaN","295219829"
,,,,,"3683","1082","ROAD_SEGMENT","NaN","false","footway","2.0823326742301327","NaN","295219829"
,,,,,"3683","3686","ROAD_SEGMENT","NaN","false","footway","4.227437488259439","NaN","1013714691"
,,,,,"3684","4653","ROAD_SEGMENT","NaN","false","footway","7.549596871143165","NaN","1013714692"
,,,,,"3684","3685","ROAD_SEGMENT","NaN","false","footway","42.98388002790053","NaN","1013714692"
,,,,,"3685","3686","ROAD_SEGMENT","NaN","false","steps","6.92921285996442","NaN","1013714690"
,,,,,"3685","3684","ROAD_SEGMENT","NaN","false","footway","42.98388002790053","NaN","1013714692"
,,,,,"3686","3685","ROAD_SEGMENT","NaN","false","steps","6.92921285996442","NaN","1013714690"
,,,,,"3686","3683","ROAD_SEGMENT","NaN","false","footway","4.227437488259439","NaN","1013714691"
,,,,,"3687","3688","ROAD_SEGMENT","NaN","false","service","1.0792955355178036","NaN","963760465"
,,,,,"3687","3484","ROAD_SEGMENT","NaN","false","service","3.5264696334207466","NaN","963760465"
,,,,,"3688","1297","ROAD_SEGMENT","NaN","false","footway","25.249068831413116","NaN","350227473"
,,,,,"3688","1312","ROAD_SEGMENT","NaN","false","footway","127.18274622836464","NaN","350227473"
,,,,,"3688","3483","ROAD_SEGMENT","NaN","false","service","21.418038991240703","NaN","963760465"
,,,,,"3688","3687","ROAD_SEGMENT","NaN","false","service","1.0792955355178036","NaN","963760465"
,,,,,"3689","837","ROAD_SEGMENT","NaN","false","footway","5.865638264608684","NaN","201076576"
,,,,,"3689","838","ROAD_SEGMENT","NaN","false","footway","5.416022032552676","NaN","201076576"
,,,,,"3690","838","ROAD_SEGMENT","NaN","false","footway","5.860240328244838","NaN","201076576"
,,,,,"3690","2091","ROAD_SEGMENT","NaN","false","footway","10.650196819760687","NaN","201076576"
,,,,,"3691","3810","ROAD_SEGMENT","NaN","false","footway","16.919735137929038","NaN","499636215"
